iter	Passed	Remaining
0	2	783
1	4	712
2	6	673
3	8	655
4	10	631
5	12	615
6	14	619
7	16	602
8	18	592
9	20	581
10	21	574
11	23	570
12	25	565
13	27	562
14	29	563
15	31	555
16	33	553
17	34	547
18	36	544
19	38	542
20	40	537
21	42	532
22	44	530
23	45	526
24	47	524
25	49	521
26	51	517
27	52	512
28	54	509
29	56	506
30	58	505
31	60	503
32	62	501
33	64	500
34	66	499
35	67	497
36	69	496
37	71	495
38	74	495
39	75	493
40	77	491
41	79	487
42	81	484
43	82	482
44	84	478
45	86	476
46	87	472
47	89	469
48	91	467
49	92	464
50	94	462
51	96	462
52	98	460
53	100	459
54	102	457
55	104	456
56	106	453
57	108	452
58	110	451
59	112	450
60	114	447
61	116	445
62	118	444
63	120	444
64	122	442
65	124	441
66	126	440
67	128	438
68	130	436
69	132	434
70	134	433
71	136	431
72	138	429
73	140	427
74	142	426
75	144	425
76	146	423
77	147	420
78	149	418
79	151	416
80	153	414
81	155	412
82	156	410
83	159	409
84	160	406
85	162	404
86	164	402
87	166	400
88	167	397
89	169	395
90	171	393
91	173	392
92	175	390
93	177	388
94	179	386
95	181	385
96	182	382
97	185	381
98	187	380
99	189	378
100	191	377
101	193	375
102	195	373
103	196	371
104	198	368
105	200	366
106	201	364
107	203	362
108	205	360
109	207	358
110	209	356
111	211	354
112	212	352
113	214	350
114	216	348
115	218	346
116	219	344
117	221	342
118	224	340
119	226	339
120	227	337
121	229	334
122	231	333
123	233	330
124	235	329
125	237	327
126	239	326
127	241	324
128	243	322
129	244	320
130	246	318
131	248	316
132	250	314
133	251	312
134	253	310
135	255	308
136	257	306
137	259	304
138	261	302
139	263	300
140	265	299
141	267	297
142	284	312
143	286	310
144	289	308
145	290	306
146	292	304
147	294	302
148	296	300
149	298	298
150	300	296
151	302	294
152	304	292
153	306	291
154	308	288
155	310	286
156	312	284
157	314	282
158	316	280
159	318	278
160	320	276
161	323	275
162	325	273
163	327	271
164	329	269
165	331	267
166	333	265
167	335	263
168	338	262
169	340	260
170	341	257
171	344	256
172	346	254
173	348	252
174	350	250
175	352	248
176	354	246
177	355	243
178	357	241
179	359	239
180	361	237
181	363	235
182	365	233
183	367	231
184	369	229
185	371	227
186	373	225
187	375	223
188	377	221
189	379	219
190	381	217
191	383	215
192	385	213
193	387	211
194	388	209
195	390	207
196	393	205
197	395	203
198	397	201
199	399	199
200	401	197
201	404	196
202	406	194
203	408	192
204	410	190
205	412	188
206	414	186
207	416	184
208	418	182
209	420	180
210	422	178
211	424	176
212	427	174
213	429	172
214	431	170
215	433	168
216	435	166
217	437	164
218	438	162
219	440	160
220	443	158
221	445	156
222	447	154
223	449	152
224	451	150
225	453	148
226	456	146
227	457	144
228	460	142
229	462	140
230	463	138
231	465	136
232	467	134
233	469	132
234	471	130
235	473	128
236	475	126
237	477	124
238	480	122
239	482	120
240	484	118
241	486	116
242	488	114
243	490	112
244	492	110
245	495	108
246	497	106
247	499	104
248	501	102
249	504	100
250	506	98
251	508	96
252	510	94
253	512	92
254	514	90
255	516	88
256	518	86
257	520	84
258	522	82
259	524	80
260	526	78
261	528	76
262	529	74
263	531	72
264	533	70
265	535	68
266	537	66
267	539	64
268	541	62
269	543	60
270	545	58
271	547	56
272	548	54
273	550	52
274	553	50
275	555	48
276	557	46
277	559	44
278	561	42
279	563	40
280	565	38
281	567	36
282	569	34
283	571	32
284	573	30
285	576	28
286	578	26
287	580	24
288	582	22
289	584	20
290	586	18
291	588	16
292	590	14
293	592	12
294	593	10
295	595	8
296	597	6
297	600	4
298	602	2
299	604	0
